label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,92302371921089.9,628780371299.5215,161449688967.35693,69190749456.71655,35445087809.63125,21220689472.237736,13563075409.0624,10451718466.9525,6085572668.971283,5455422804.576666,4612870869.459973,4379185301.113424,3797827913.014809,5451283155.421152,5259518527.497204,5582091183.743034,4439494798.05769,4308254566.224192,2987543926.114397,2292552939.2902393,2096440343.540774,1397054620.5819545,1476611598.107166,1334922469.1870737,1257504664.6826942,1114334797.5101423,1026119350.1748835,1029388017.0225751,1116100091.666155,234268821.6595442
1,141360177576235.4,916808049364.822,267830998034.2996,134158188772.70377,71379115430.42474,46354514671.07167,35743386809.40615,25273364360.5476,11337735324.721342,8527000341.659941,7419175032.13007,5618230553.48077,4448925178.9675,4050573670.5752115,3265573378.3180923,2612025808.089713,2357020274.4411507,2014922812.2003176,1769365519.2112355,1679861745.4423294,1522486078.8732777,1332298785.7386887,1217415571.7978272,1112717695.6877537,967820247.1067826,1001738618.9071677,1000574157.9648149,885290876.0278529,902784322.1411552,206016422.86907387
1,92450190664412.1,1655046755826.401,495519614655.7995,234415499058.8868,144386269269.01706,97346378488.31996,82711366135.72514,54379503120.82047,30812329519.668125,23764722206.2611,17904224315.437206,15209559771.171186,12997242311.211664,11300199885.326473,10035404893.068039,8781113617.988419,8321590935.445881,7772336376.153168,6053234665.524845,5350446765.457752,4789066995.215597,4169051087.1817856,3669675505.257791,3557758990.532336,3165053603.2183113,3230403954.93948,3169604661.27997,2856415947.2411456,2910026422.0853906,372779154.28431064
1,128968931889127.72,2759322035125.991,762804020484.4613,387959753356.59686,198692069298.78125,127480392370.98874,96004102595.55237,66855815608.54939,42468661619.27245,33274449034.584106,25052978460.163635,21845387490.893654,17767241426.994194,14250836897.762192,13087343030.169949,10962871084.295292,9631681723.741428,8420495718.202013,7139300711.913952,6535562857.394161,6147509600.872217,5435316520.2182,5175680075.47196,4697382610.716616,4265639640.253943,4301773618.313036,4189120758.8828425,3929930084.416235,3908355779.802533,776510686.0300369
1,121348865365431.31,1312767405725.9822,419218312414.19775,204455600745.06836,116852741919.96124,80397148418.98053,63180077385.525764,44483116776.46463,16926427063.323345,11162419791.772121,9448464613.51572,7533264914.192838,6427803018.567472,5213547039.31796,4333890934.113046,4041616049.226467,3490923702.268791,3221292069.842992,2721685808.482888,2601102957.44471,2175741694.4757566,2045249238.909442,1743444728.4858618,1823964856.3955674,1570395080.923046,1452893185.3268993,1492781113.1488116,1433236896.5198126,1389127786.1120791,238198000.15766758
1,118626911485672.14,479948135531.36316,106383226932.5726,53389415739.165726,30962862288.162453,21426977759.36089,16475506448.841583,11677190525.931593,4709395014.039056,3632931291.4636497,3025637944.3100057,2590773068.835496,2330589794.9298124,2061498678.7474196,1889252190.4732208,1709098710.314918,1556271798.3356707,1380796268.2360377,1164599320.5509193,1152288336.3407288,1110325485.1697118,1015617674.9692904,1023944787.5106666,834288075.9048073,844116475.0395441,816979936.7560997,850241598.2022381,744890096.7225204,782302234.8677685,178161215.73743525
1,135953828486330.77,2610514193995.0356,779353947934.9238,374453134515.9825,203655263916.4239,126384594534.14325,86889112586.74585,62324291423.39754,39125463178.02399,30755325101.25624,27394349699.937187,23983071839.85121,25606661372.810097,20919620423.916008,14030247589.845787,9914303859.270689,9313423524.25804,7975378411.231519,6461284148.326833,6655474434.224155,5754207840.012659,4970647227.139944,4177057217.6815834,3638962759.058953,3947481172.541788,3960806279.897711,3474889645.2032595,3094103570.0774193,2889966955.5611267,530560167.4419681
1,125284573693718.06,1083531071666.9724,312716088674.40857,149016733606.68622,84293009107.90936,57789243134.86374,41573847388.57606,29817359886.06235,13909145545.846256,10287821825.726822,8651604433.96856,7188324903.56929,6310273953.834463,5650049009.336502,5767859506.427491,4847800585.117641,3607041834.4494085,3236740453.0211635,3320613981.5414796,2685789571.0408936,2211864134.8168983,2007537960.6600685,1891472057.4167824,1774557506.3071985,1578195490.7925603,1557506228.6477323,1401638547.3712938,1339506374.1660407,1412130712.7827582,306988243.6163422
1,109349874976035.03,840501003519.6289,209557853850.54626,103215832134.99232,63020851427.529465,40840652744.480705,30272081528.459408,22155137809.409885,10154580350.465557,7327395290.138359,6114097894.360999,5869402271.561166,5508052312.252292,5113413244.088148,4709585109.131142,4770199114.794068,4736032236.82276,3092311641.578534,2295251552.263142,1941147635.8663144,1946216872.4508796,1645873614.2856696,1490047202.2209153,1509162201.4677615,1419911210.667976,1420606172.4695373,1394281314.287518,1261089888.1736937,1349693880.9100702,305472099.64456934
1,119221426111858.81,448282615476.7191,127746968317.59409,55815457909.86191,32410204636.328743,22030905402.798195,15870147987.994694,10844669621.304428,5418387377.985906,4378632171.430969,3840221567.1444197,3238299068.9039116,2684071249.3524885,2474032815.9990435,2280298728.1975617,1905700334.530885,1838022399.114446,1673708648.8387454,1457715834.2061486,1373871189.6230614,1344623263.5353546,1185587624.3371751,1210129141.7567048,1101176896.1803286,991094432.9858451,964643938.4536482,957990640.3784673,901909810.8005617,930985493.7988863,155330056.036102
1,103445087141403.52,1084160939767.5972,339415858690.79565,144928656770.35156,82747307104.63373,49074601149.13398,32155368048.64191,25575806750.146477,16738264841.614695,14936066213.517849,14462348157.828472,12829412728.217028,9515684854.163298,8063702593.34143,6492395244.217362,4799617332.7340975,3810328429.1454754,3534554767.270088,2705169218.1365333,2728577033.193988,2971046931.018388,2133442590.763297,1957775376.9701324,2027035640.3660645,1842229100.6499197,2061225862.5930843,1474958524.7423303,1300180693.522666,1239611615.9146855,235588132.2720728
1,110272479009515.69,2408521070503.459,782506827858.3088,355248210251.10266,200975501382.3672,124777586473.30722,82573347324.98993,62195392066.446,35266727836.55602,30944584350.356575,23388663219.11828,21289699164.241882,18216420957.92798,15791273483.89826,14869792638.12938,14491955080.66203,11771323945.480423,9745418767.368635,6768964616.726766,6204256693.586964,4943802600.787704,5359377976.28996,4318230761.840023,4198273744.086317,3391863177.801895,3259823949.4193287,2905833680.8961334,2836718493.7305427,2783316177.8633146,582678907.5800546
1,104042478946287.67,2563742196262.402,642708766104.5005,327454607229.3076,177017892074.34595,111713971142.86555,75604966474.95729,57663744008.162704,39729704348.32903,30628686992.58406,25345612901.10141,20540577334.662933,17067305480.461666,14199528881.858624,12713388423.751904,10841309098.094467,10493648272.98898,10055654874.929745,7454477250.756943,5884585734.050045,5660880471.831762,4648784588.086606,4371774862.857462,3810573971.8300757,3337724509.56543,3222486620.9233103,3172370666.3650074,2887751142.0313845,2776010300.954421,662500659.7635272
1,105318608736122.1,3155607626229.054,960033852068.9299,446571439480.49,255832748994.04532,180763648881.43152,118757012214.51505,81908991841.54419,51251934970.10682,40618463533.32084,29368619536.504807,22368704409.548965,17490727151.961002,15492221500.136187,11965883256.831398,9605460949.58411,8492850979.630217,7475070836.061087,6222429917.210021,5423433292.883615,4775545388.499889,4214270670.193697,3821499156.8488884,3415264597.9847918,3091300441.0657487,2703395274.019382,2809570719.226347,2568978241.8434024,2458835091.0726404,528861436.3676974
1,114750765290880.53,709828595625.7468,191293543595.67932,90744106073.56952,55522057014.36136,35756689219.31473,26982262312.329063,17986122131.31242,8485667089.37241,6208689389.744973,5314324980.319845,4173356309.2359676,3578573949.0603476,3144979921.4331417,2775570038.2765155,2277480235.481155,2278711540.4710994,2011751827.9820864,1676063755.3458114,1628389425.3566842,1491353569.5663247,1386654330.6749277,1291747912.2701323,1214595630.918357,1124421310.5744271,1094900361.3907788,1048990218.9157526,966803059.6456642,1028600176.6429305,142554574.4733014
1,120942515174899.06,1289271872979.7466,408496108964.49066,201322839182.1588,107942156641.82812,68231158942.1817,48393326159.12869,32160110966.96163,16711811825.147215,12787393238.884,10333738347.204819,7966563357.756557,6436139385.912331,5248459438.450742,4653708931.385244,4088617523.8854117,3711627744.8497157,3417354011.194463,3008837767.2605715,2717607976.450867,2284391688.587081,2075847592.9277267,2053056498.7344759,1771576757.79283,1582486931.924277,1513873238.9448988,1522903835.2468977,1461393876.8392634,1693181551.7303398,306849054.32962406
